seed,n_samples,cor,model,r2_mean,r2_std,imp_V0,imp_std_V0,tr_V0,imp_V1,imp_std_V1,tr_V1
40,100,0.0,lr,-0.15258994017238053,0.14704582622743018,-0.2670594063222896,0.39330208276191003,1,0.020788252587928498,0.04616010515277319,0
40,100,0.0,lasso,-0.09463097961652008,0.14219668732887866,0.0,0.0,1,0.0,0.0,0
40,100,0.0,dt,-0.16024819199308565,0.8255262750397659,4.7004281831771255,2.501082944993167,1,-0.1387334832771991,0.5099959195090806,0
40,100,0.0,rf,0.3349511073955793,0.26313497956180965,3.8285076890980902,1.6951197730802,1,-0.09065021856607537,0.19374496493721588,0
40,100,0.0,et,0.25793230140639994,0.5149256599740367,4.443071867439256,2.3296857614131095,1,-0.06694125794858682,0.22871539763730592,0
40,100,0.0,gb,0.22700320946332164,0.5051620336526905,4.280157409720337,1.9285881644115708,1,-0.33279129635011684,0.34498489522757736,0
40,100,0.0,hgb,-0.08039107517331172,0.37068170926467414,1.256501942982392,0.7184056297998302,1,-0.31992258050889844,0.3317773935237241,0
40,100,0.0,ab,0.36447018470466624,0.27522846935733575,3.6659905257071927,1.8147220822181862,1,-0.07066031742460802,0.10872909491038307,0
40,100,0.0,bag,0.31213991502759086,0.28615831121784113,3.711472640524061,1.5499370203630265,1,-0.046297552333310066,0.1849249593040282,0
40,100,0.0,mlp,0.46979644566547274,0.22090620705907651,5.212223506415677,2.6397160174067418,1,-0.11896513510176707,0.15869648934378403,0
40,100,0.0,svr,0.2962352023486242,0.1215860373114773,2.7618977153149395,0.857528034350748,1,-0.154991147186011,0.22602542187644636,0
40,100,0.0,knn,0.2861887640367152,0.13418660045121691,2.8136099447690595,1.350710057206764,1,-0.10450395124422344,0.1675543513379104,0
40,100,0.0,SuperLearner,0.3316789906980826,0.24923838908683368,4.333214679716958,3.2507380569138085,1,-0.16315376044340135,0.30552490110946684,0
40,100,0.0,TabICL,0.39843029396798846,0.44065601510514546,5.374433592594908,2.93758329873393,1,-0.08628658906648488,0.13716826255896322,0
40,250,0.0,lr,-0.17010134911571578,0.09635375961971271,-0.28473814810323594,0.38690499471948836,1,0.03483146535345051,0.05275456472671438,0
40,250,0.0,lasso,-0.09042669067342576,0.08480378326154923,0.0,0.0,1,0.0,0.0,0
40,250,0.0,dt,0.21222473121845012,0.34075802037864883,4.505111401094412,2.5017756995716787,1,0.022445573409091434,0.14950858223833557,0
40,250,0.0,rf,0.49622855678542727,0.13679659923827175,4.076018291419961,1.914258808704502,1,0.11805716836876201,0.116441905696399,0
40,250,0.0,et,0.4686843815494505,0.19433549680300324,4.105029445944118,2.0157042466842587,1,0.1002872134325505,0.15051243950572393,0
40,250,0.0,gb,0.5039218294630684,0.11732246195541045,4.118824074225255,1.9708011051736374,1,0.06884699495177807,0.09007999923313886,0
40,250,0.0,hgb,0.36109670681905365,0.06593803212263022,3.39058110949962,0.8923631769520535,1,0.14758074859327905,0.068983223506439,0
40,250,0.0,ab,0.488796710079371,0.0908005575675149,3.32073294566599,1.5387718471681289,1,0.0004118106260251159,0.07258566125095957,0
40,250,0.0,bag,0.46821685095467896,0.15854583413268922,4.089868587474247,1.9738420924921256,1,0.0764185436363123,0.13295453415725197,0
40,250,0.0,mlp,0.5883163223225321,0.12904199447183756,4.6247665286793636,2.2928655116958017,1,0.07529377259443978,0.035035577556904514,0
40,250,0.0,svr,0.46403451162219234,0.06471068149140591,2.984040870690019,1.1019599270194798,1,0.144971428748422,0.08928452071330785,0
40,250,0.0,knn,0.46116269754917594,0.08479947065202577,3.206355718911415,1.3861135706269798,1,0.17663825965859425,0.1606796616773825,0
40,250,0.0,SuperLearner,0.5598130876831062,0.12073341765636864,4.180005714816625,2.2766729089267437,1,0.023312850284461246,0.05376984685832912,0
40,250,0.0,TabICL,0.580191381902989,0.14859088089777378,4.579237647477936,2.5811757188622493,1,-0.006006812052900462,0.014580258334848007,0
40,500,0.0,lr,-0.03363945464516878,0.021496216850874904,-0.04310990382764834,0.038326492084759176,1,-0.006115917334974094,0.018536965506931534,0
40,500,0.0,lasso,-0.015523988063016202,0.013100083626721897,0.0,0.0,1,0.0,0.0,0
40,500,0.0,dt,0.2233793196677015,0.1846316318936442,3.720591504770674,1.0636426205650449,1,-0.1012291487772888,0.1311201395246836,0
40,500,0.0,rf,0.5023547392835274,0.0815269124210459,3.5337691899332264,0.8913800347054789,1,-0.0836306776926525,0.05878302735819423,0
40,500,0.0,et,0.4864081834364821,0.09309890104633865,3.6461992376349586,0.9907054068850765,1,-0.06543695929179368,0.0727932887602692,0
40,500,0.0,gb,0.5685176087998807,0.05936917239992956,3.7193165599449522,0.9495735130418737,1,-0.01364847773216657,0.08401745538717317,0
40,500,0.0,hgb,0.46055843001008157,0.06316454099088203,3.2924939393860377,0.7106110014195487,1,-0.006521055241635679,0.061393091239850275,0
40,500,0.0,ab,0.5661679505444193,0.06693567452152085,3.40160179957984,0.9242988510621882,1,-0.027834602177022792,0.017554970826518683,0
40,500,0.0,bag,0.4927297119613307,0.07883621298251092,3.5763539049598085,0.9564093073492785,1,-0.08222865315947991,0.063344695674279,0
40,500,0.0,mlp,0.6221796989876175,0.05815643736162164,3.771081152821643,0.7660926168473484,1,-0.030079129709560663,0.0262953048257848,0
40,500,0.0,svr,0.5601682479260606,0.09875960279312374,2.993087696865996,0.6489291698965354,1,-0.06234293449677555,0.041848859050686665,0
40,500,0.0,knn,0.49476877881344744,0.07822800317276137,2.9521436605485896,0.6069080311664582,1,-0.09557238310860246,0.08802725416466747,0
40,500,0.0,SuperLearner,0.6154218729552811,0.054712329286103596,3.6967189800333577,0.8200893637748597,1,-0.01816976757021526,0.028922407394391517,0
40,500,0.0,TabICL,0.64364328038428,0.05300085082025116,3.8540041508660727,0.8559676852259849,1,-0.006059870077931824,0.006796689648251536,0
40,1000,0.0,lr,-0.007417319854652949,0.0072458301549210465,-0.01480317803858846,0.020256076412407762,1,-0.0006950420275722759,0.001904913258933547,0
40,1000,0.0,lasso,-0.0007375117230376648,0.0008203493178667822,0.0,0.0,1,0.0,0.0,0
40,1000,0.0,dt,0.34314885974738535,0.04868497911214868,4.486700383343952,0.5849038386829691,1,-0.0068729066143777325,0.12483977348689287,0
40,1000,0.0,rf,0.615888945329834,0.03105628922942845,4.336003437499211,0.54857029172538,1,0.003812997262761045,0.04572677772978596,0
40,1000,0.0,et,0.5667830753961836,0.029503992516628812,4.302224364642534,0.5616646457620164,1,-0.05246838138550458,0.024187397644700254,0
40,1000,0.0,gb,0.6509427586562962,0.025919437454347386,4.27784921739315,0.5634817017984597,1,0.006851661612558161,0.023180370259687735,0
40,1000,0.0,hgb,0.5496148761372995,0.024620433395453462,3.8754955930818182,0.4958629320500693,1,0.023061542558100105,0.03143314651822329,0
40,1000,0.0,ab,0.6460378484271068,0.03530341772145243,4.281036188691489,0.6321716028359576,1,0.0017455551493141084,0.0051350258601845925,0
40,1000,0.0,bag,0.5906088389630062,0.02979724041003516,4.295485163714318,0.49842912189639516,1,-0.0019327049416294761,0.04494430293540377,0
40,1000,0.0,mlp,0.6644946181729109,0.03403697680505851,4.245634416215525,0.6185478665977986,1,-0.0013436960942293896,0.008184284866039733,0
40,1000,0.0,svr,0.6274305828188119,0.02299441583031528,3.7289839040451596,0.43103748968366484,1,0.015664206679596816,0.03243079020149652,0
40,1000,0.0,knn,0.5653768998503439,0.03206172547115011,3.6435657650856625,0.5179980293449911,1,-0.05911941714300778,0.050000035874135276,0
40,1000,0.0,SuperLearner,0.6652850802804906,0.03924857849314681,4.250402124348444,0.6459079057156084,1,0.0034157707185227108,0.012372889978607143,0
40,1000,0.0,TabICL,0.6767093263584105,0.035837603998759356,4.319722758242495,0.6380239271989155,1,-0.0006021381782234748,0.0011049921499931767,0
40,2000,0.0,lr,-0.010462625231732758,0.023830873022597173,-0.016784917123312794,0.06736746778492488,1,-0.0037494285862088444,0.0037017978578375564,0
40,2000,0.0,lasso,-0.0012490492697090794,0.000994614037244149,0.0,0.0,1,0.0,0.0,0
40,2000,0.0,dt,0.3460049226792502,0.07311526178308256,4.356703923864677,0.6646092142593407,1,0.04902860367543364,0.0929753595374326,0
40,2000,0.0,rf,0.6064816867023337,0.03049766424453441,4.2325677572598615,0.5327734385018549,1,0.007939685849351534,0.038302255888131895,0
40,2000,0.0,et,0.5694379489137102,0.034865101180946254,4.2452648187465645,0.5659271313307905,1,-0.03338415300325463,0.041115812620572345,0
40,2000,0.0,gb,0.6602310409358958,0.027576363067168545,4.301816846871128,0.5722904017598548,1,0.00045665076748332387,0.012210665224293841,0
40,2000,0.0,hgb,0.5932570272089164,0.019652150705848248,3.9902993645191245,0.3672791813172454,1,0.0009606000717591754,0.02637552665186436,0
40,2000,0.0,ab,0.6310747148607734,0.038800849089424654,3.862682289161756,0.6293175210066962,1,0.012450363743616289,0.03639154646552329,0
40,2000,0.0,bag,0.585710641188739,0.038442851212881005,4.209978288670658,0.5286607765735626,1,0.011555253116170462,0.04202940499088454,0
40,2000,0.0,mlp,0.6718634604655558,0.02427920012966105,4.246178483314655,0.4712752625879164,1,-0.005039122509631698,0.006251132742381402,0
40,2000,0.0,svr,0.6324068022603335,0.019068943890564276,3.74841352352043,0.29245584201867886,1,-0.005968432839262237,0.012038026430092288,0
40,2000,0.0,knn,0.5745082392739456,0.0258895900648929,3.7381776606222594,0.38762357106402334,1,-0.03365729141932302,0.009502926392717628,0
40,2000,0.0,SuperLearner,0.6733910499718188,0.02495536498944221,4.249421523570357,0.4926659402068002,1,-0.002783409724525128,0.008848522404645934,0
40,2000,0.0,TabICL,0.6768386307778027,0.02635809478439386,4.316851439320688,0.514988067087355,1,-0.001094090679651299,0.0008195661765739342,0
40,5000,0.0,lr,-0.0015222041886863602,0.004968861032032919,0.004678571898410614,0.012301869682990293,1,-0.0020907511853659848,0.0022271933653354352,0
40,5000,0.0,lasso,-0.000503880759251052,0.0004906530014909715,0.0,0.0,1,0.0,0.0,0
40,5000,0.0,dt,0.315399021803075,0.05102636714189777,3.954373659701607,0.4498344397099423,1,0.02831410679108352,0.061591077608195786,0
40,5000,0.0,rf,0.5964801437614389,0.027076539406828592,3.930668393925605,0.41953348147520086,1,0.006797754750017551,0.023453841105147137,0
40,5000,0.0,et,0.5635016943864168,0.028800653772102777,3.9823669273136155,0.45266950581935617,1,0.007814937134368767,0.023185543422895433,0
40,5000,0.0,gb,0.6532694657832695,0.02340026503925598,3.923437756967843,0.44135484709252687,1,-0.00036510711318591316,0.004486127830952458,0
40,5000,0.0,hgb,0.6158648164521436,0.022727783899847673,3.838646817465542,0.30542016501764085,1,0.008608462124729294,0.022242489111359082,0
40,5000,0.0,ab,0.6284940264940457,0.02873427061497115,3.7325511910373783,0.4614653501028842,1,0.0025604601675529946,0.005438837246164225,0
40,5000,0.0,bag,0.5663083367998786,0.029849125416325065,3.918024662939318,0.42779214505504887,1,-0.00014126446224732198,0.02482696752838619,0
40,5000,0.0,mlp,0.6605497172680165,0.023572863187043318,4.005384270862308,0.40700752710458327,1,-0.00018314889242255675,0.0022655461338039495,0
40,5000,0.0,svr,0.6415834286329652,0.018087421391636802,3.7390193458186354,0.31478797951501697,1,-0.0006070367861557094,0.009222063334436875,0
40,5000,0.0,knn,0.5823365000582281,0.02646146389894267,3.693359021446742,0.35139398279034273,1,-0.006096108256174605,0.012760573808195364,0
40,5000,0.0,SuperLearner,0.6605645356195119,0.024555048026500926,4.019219794947053,0.4470232052439193,1,-0.0001028566218948061,0.003369274273821933,0
40,5000,0.0,TabICL,0.6633741615678244,0.02400558344052088,4.034968665776798,0.4538192269657186,1,-0.0005538455215106208,0.0009540856887957526,0
