seed,n_samples,cor,model,r2_mean,r2_std,imp_V0,imp_std_V0,tr_V0,imp_V1,imp_std_V1,tr_V1
2,100,0.0,lr,-0.6368143401642898,1.8181722423531406,6124.909942447281,5817.709947567593,1,9.275692791673627,26.60652417268034,0
2,100,0.0,lasso,-0.6045463149198623,1.772276658498163,6077.450535491854,5758.8209302716405,1,6.445487987325197,22.691053175504376,0
2,100,0.0,dt,0.7559327861260184,0.22679839996105008,4032.675652844584,5802.336289345256,1,335.95348148279624,857.9535143689014,0
2,100,0.0,rf,0.8736316328185335,0.13201125815027023,4448.489970954129,4975.680955273715,1,126.24970779253348,256.01651675866685,0
2,100,0.0,et,0.9142520605598641,0.10313947348778305,5840.655799942995,6128.859887127925,1,61.314963095249105,115.75075032579132,0
2,100,0.0,gb,0.7960181154451483,0.1708517006580937,4382.404539018476,6063.238798553505,1,137.48109669411775,370.53839098456586,0
2,100,0.0,hgb,-0.07271301871964837,0.326207888372293,1407.4248068003617,792.5685760049346,1,212.005473918617,573.1097089309177,0
2,100,0.0,ab,0.8121618453859142,0.10701174949153523,4768.440506708845,6439.368372566089,1,-0.7594635823189833,1.518927164638658,0
2,100,0.0,bag,0.8526651438799423,0.1623246057738219,4686.828392755903,5306.836697450887,1,127.91770037189931,244.47996245112165,0
2,100,0.0,mlp,-0.20431190715112732,1.2015157691889822,5945.887052211672,5680.183057546377,1,53.3966055378614,100.09964906286798,0
2,100,0.0,svr,0.2446130217508269,0.3317904679331046,182.39970166779057,26.79947495272313,1,3.9774886647393473,4.476065109581171,0
2,100,0.0,knn,0.7319832489932431,0.2355149169159532,2942.9022874863144,2898.647268656624,1,-71.93987746862426,149.35997174867038,0
2,100,0.0,SuperLearner,-0.17358945078997898,1.1883670746275858,9913.728832957348,9118.198024921569,1,482.43435427633904,1640.4461927405116,0
2,100,0.0,TabICL,0.9448064481842158,0.10001210991068862,5984.3354762817125,6454.593646759646,1,0.06427312757930866,1.2761303048068624,0
2,250,0.0,lr,0.46939581040791295,0.32432341019956734,2810.6642356824914,2010.6079408612707,1,2.700415596184378,4.095561472357172,0
2,250,0.0,lasso,0.4806779166047496,0.31417566953838344,2775.313090867916,1977.3624853322658,1,1.4169308962197211,3.436857699468118,0
2,250,0.0,dt,0.8840151225825077,0.09534572365953568,2414.073952968426,2346.402734140647,1,242.0817346017769,483.04553214845345,0
2,250,0.0,rf,0.8678318394787208,0.15137302054303728,2134.4941493271235,1807.6356611743656,1,44.046569969287255,88.03083213358757,0
2,250,0.0,et,0.9425357876565407,0.09501681617084852,2939.653604628305,2600.7241912540712,1,24.579518516743185,52.09729732779464,0
2,250,0.0,gb,0.8800745688309728,0.11178452473755397,2412.7851474333957,2370.4155400810955,1,67.68685818870067,119.87825914904313,0
2,250,0.0,hgb,0.6299136405278458,0.22415668327827012,1459.9529259358217,644.5313539539981,1,176.974955635877,128.04388972528818,0
2,250,0.0,ab,0.8514663449657551,0.11034038012183957,2330.8075128231944,2386.949719245458,1,182.5602518416594,378.6825960120435,0
2,250,0.0,bag,0.8579097132237207,0.1495294569584675,2092.933588390812,1813.5491135121642,1,42.40077663071866,93.31208820286048,0
2,250,0.0,mlp,0.49921529155453914,0.32208291098139047,2821.8650646082388,2057.4395192182496,1,14.72321991465375,31.200405001044828,0
2,250,0.0,svr,0.3357575444429054,0.27697829953964553,347.4215515484815,71.67426838798659,1,7.886920343176404,4.6128393166812875,0
2,250,0.0,knn,0.8219431771875904,0.19943619062633539,1793.844261484245,1390.1510264986357,1,9.640384832038624,5.567061060689347,0
2,250,0.0,SuperLearner,-0.14825186769247453,0.8006998599562215,4940.298541273538,4414.763842937365,1,99.120628065549,451.89612493260967,0
