seed,n_samples,cor,model,r2_mean,r2_std,imp_V0,imp_std_V0,tr_V0,imp_V1,imp_std_V1,tr_V1
0,100,0.0,lr,0.8929685362609293,0.02583254339866668,1287.186658208609,226.2627225335068,1,0.7881494159231737,1.8331346758367282,0
0,100,0.0,lasso,0.8936326667924513,0.026527089402970556,1269.3528321125018,223.3476963332806,1,-0.016027155230904633,1.0246138946456076,0
0,100,0.0,dt,0.9665165493044077,0.023287289743219357,1445.0403555415037,205.1095477087504,1,-6.988695307904304,9.044256639712408,0
0,100,0.0,rf,0.9790704183232684,0.02395088418201315,1362.57831614773,185.4318442797782,1,-2.1532713834403525,3.7242912217680497,0
0,100,0.0,et,0.9929953672792827,0.00738968042118386,1401.815513321711,246.97203929085285,1,-0.865852447529835,1.4042361259403282,0
0,100,0.0,gb,0.9826915793240847,0.011547779755786955,1416.3060153339252,209.325505921125,1,-3.378184508168458,4.534270419959947,0
0,100,0.0,hgb,0.5853713194604694,0.09802519421814379,864.0905991636273,74.0787447810424,1,39.836766487667674,27.081191609782163,0
0,100,0.0,ab,0.9780348249321322,0.01356777531497471,1376.6913037599863,187.92932607959273,1,-4.371344050035409,8.340439875825796,0
0,100,0.0,bag,0.9758471398429819,0.016636716219261074,1368.9171706407028,189.36624522451547,1,-4.2549879810274245,5.438424548140483,0
0,100,0.0,mlp,0.9281966444371132,0.020670804617144194,1333.4965797237862,269.91350321287797,1,-4.460703293302838,6.040704855509797,0
0,100,0.0,svr,0.16218206305423594,0.03917671325655034,230.09822240749727,41.32247999582765,1,-10.563069509872015,5.370724620413704,0
0,100,0.0,knn,0.9097233164753907,0.04029947032740811,1122.6467163815837,204.56009901686096,1,-6.618055520310614,14.78341808980322,0
0,100,0.0,SuperLearner,0.9833159182021788,0.015045791118341636,1482.6516333975508,309.4160241324737,1,0.15637559328580464,2.611955539909115,0
0,100,0.0,TabICL,0.9960452347381287,0.004834197419258007,1397.9815863080871,260.14366669922435,1,-0.0017297949946690427,0.042306343962161916,0
0,250,0.0,lr,0.8719068919733418,0.03357751584497766,1094.7605370062147,76.00053496648118,1,-0.9223539297076104,0.6739819867630977,0
0,250,0.0,lasso,0.8732506099849671,0.03459231461788882,1077.0468586588534,73.87755371311478,1,-0.23137558989307666,0.26972132492147904,0
0,250,0.0,dt,0.9771263548549868,0.031922479360666244,1178.1879811177519,107.65497775046518,1,-1.3869344130709191,4.756815032067522,0
0,250,0.0,rf,0.9789321206619107,0.030907565302444394,1184.987402737564,111.51960499420717,1,-0.3071814706412631,0.44091662969114037,0
0,250,0.0,et,0.9838809626711329,0.026550937627732314,1193.0030217175488,108.70683411889532,1,-0.5269676394110292,0.7634446571781726,0
0,250,0.0,gb,0.9836958951274066,0.023493547639864082,1179.2442927851534,111.49951052074394,1,-0.09073037982244406,0.22555012124761237,0
0,250,0.0,hgb,0.8179740874946532,0.10228759313130124,974.9957401748219,122.58561837961606,1,-1.7541630431219484,11.657639768254757,0
0,250,0.0,ab,0.9755613070846708,0.026987115610265323,1159.614669004385,107.20287191974441,1,-0.5745412736407125,0.9910008662620363,0
0,250,0.0,bag,0.9809873052749483,0.025731156421777174,1176.5439633199908,104.89471583548136,1,0.09832891287680798,0.30683547822731183,0
0,250,0.0,mlp,0.9231963260479846,0.030430291761967942,1151.5867633788744,96.28376763948746,1,0.1849782219766624,10.723845908222712,0
0,250,0.0,svr,0.3365642170273054,0.08367250002164249,318.97056968123786,36.04444958202293,1,-7.129564961884651,11.09243553482105,0
0,250,0.0,knn,0.9496849874955323,0.04017222908072052,1066.4402618231293,106.82753594345424,1,4.4093353266740545,14.517892313490306,0
0,250,0.0,SuperLearner,0.9797502223762097,0.01978480399452179,1201.2574403267004,115.85417002908511,1,-0.0076625956641863,1.4406984266552454,0
0,250,0.0,TabICL,0.9864343792003794,0.023520843213415733,1191.8277132250619,118.82311248373884,1,0.00975136282983339,0.03234997552590807,0
0,500,0.0,lr,0.8475350263054284,0.050263578379108595,971.8536920051214,286.7672145361268,1,0.22910720513636212,0.4737694588585845,0
0,500,0.0,lasso,0.8486244614052832,0.04669177629523876,953.0633416226926,281.1073930381902,1,-0.050301760111357854,0.10900160739626588,0
0,500,0.0,dt,0.9883253166358517,0.003056557524940492,1110.8396584410098,417.92419696104065,1,0.38355636342286215,1.237224457179368,0
0,500,0.0,rf,0.9935738740649762,0.0029831590902163487,1103.5595315213673,402.467963489679,1,0.09860774209046533,0.2784177681596201,0
0,500,0.0,et,0.9959709198666579,0.001871287636697952,1121.4266957055224,415.6454888451988,1,0.1199775382956936,0.15515249832496628,0
0,500,0.0,gb,0.9938335952518186,0.0008760414108332746,1112.4659033308826,415.47034193047045,1,0.021658389718906223,0.14068049859667786,0
0,500,0.0,hgb,0.8990080110469918,0.05006471508583855,961.6093782310293,315.67768123555913,1,6.3335376047442855,8.124986654208344,0
0,500,0.0,ab,0.9822027838246938,0.0057604865074274685,1091.3784666786728,405.8172353908951,1,0.11908242865393708,0.2428371502897069,0
0,500,0.0,bag,0.9937483423151907,0.0022181479596959123,1120.3948680829394,411.05055506442375,1,0.4620280955066466,0.5023982391423609,0
0,500,0.0,mlp,0.9737085969629673,0.010260180311710486,1067.1698729532534,363.83359399052364,1,1.5142255096386819,2.5860813380483916,0
