seed,n_samples,cor,model,r2_mean,r2_std,imp_V0,imp_std_V0,tr_V0,imp_V1,imp_std_V1,tr_V1
35,100,0.0,lr,0.809582032436029,0.07408307518891931,1406.4838483970832,866.7115098253214,1,0.7407336095854722,3.4397705204640707,0
35,100,0.0,lasso,0.8132179029275134,0.07021122048932851,1382.427788921873,848.5016229385561,1,-0.13787483515581095,2.4123667441051064,0
35,100,0.0,dt,0.9270559332822937,0.07788718225185105,1297.1803622945026,936.2285471690918,1,-3.831960630133884,8.186758236413437,0
35,100,0.0,rf,0.9231150039185035,0.0875594436265242,1244.1046669153427,795.102525279743,1,11.791750169070266,25.007061040056687,0
35,100,0.0,et,0.9587058079083661,0.06278468182848096,1437.147713807241,965.3595184730013,1,2.421204497650703,5.4264763188421234,0
35,100,0.0,gb,0.9453679939987845,0.06309299443276807,1300.4139615776999,896.8972566253946,1,27.24076380656956,55.20989443859928,0
35,100,0.0,hgb,0.5545671855024844,0.12988532376430847,840.3704201200333,254.1404775566882,1,21.743459678092318,47.12064482275995,0
35,100,0.0,ab,0.9181347642828352,0.0654322756736991,1247.3956583642807,866.8960138390773,1,30.228591040316093,65.4217566302632,0
35,100,0.0,bag,0.9154602065650599,0.10932574095058016,1212.3674618283922,730.7707083402182,1,-1.3646948449376315,7.636809151924046,0
35,100,0.0,mlp,0.8628236212735892,0.062131106677338045,1414.7649150928091,894.2610173553823,1,2.0046905717077084,12.494007294378022,0
35,100,0.0,svr,0.25055390121860244,0.2348985279811102,233.1772608143765,56.0771242690621,1,-9.59089440588632,16.164654993579965,0
35,100,0.0,knn,0.8585195166393149,0.14053459315765937,1051.3198891476156,610.4037859741941,1,-14.398209201025821,32.52073392813766,0
35,100,0.0,SuperLearner,0.845088756181881,0.09386336866914466,1786.9816241883284,1232.2000736461407,1,8.968604748427563,7.565842110350554,0
35,100,0.0,TabICL,0.9640889671959911,0.06454292323296634,1425.0674978784102,986.3619711083348,1,0.03592254761107978,0.07995257483734397,0
35,250,0.0,lr,0.8130948235710342,0.08365724086815249,1399.217385415151,539.3918357095514,1,0.14443249508161832,0.5016059102296063,0
35,250,0.0,lasso,0.817399919177349,0.07666527729422713,1375.480310027539,530.9011986288019,1,-0.0957153061574599,0.17294628221861008,0
