seed,n_samples,cor,model,r2_mean,r2_std,imp_V0,imp_std_V0,tr_V0,imp_V1,imp_std_V1,tr_V1
32,100,0.0,lr,0.04798717773381247,0.25549738262393706,0.9355119686149805,0.559864158805011,1,0.014320052474345651,0.051798868426713086,0
32,100,0.0,lasso,-0.003923654579246571,0.0035678331378180043,0.0,0.0,1,0.0,0.0,0
32,100,0.0,dt,0.47923876062500276,0.23262293988251195,4.896339918989197,2.251678271676637,1,0.4174624958305313,0.32292500502716376,0
32,100,0.0,rf,0.5851100460238241,0.15713430385955196,4.490266195977993,2.012936197443822,1,0.13279106418765246,0.07777939544573154,0
32,100,0.0,et,0.5844048965475075,0.2434248111149739,4.75584955075309,1.9521042492821263,1,0.15543476954607957,0.14030820469149746,0
32,100,0.0,gb,0.5154531688623798,0.19087470977310736,4.4943756979742195,1.931253266804275,1,0.09858807341639522,0.08121013684846355,0
32,100,0.0,hgb,0.17447955719758082,0.36785389128820484,2.6009969685705276,0.9391881291506806,1,0.10220409650103161,0.46503221749579315,0
32,100,0.0,ab,0.5886097415665008,0.15191948993504306,4.624570365119721,2.241715125190079,1,0.05505587443761116,0.09318965007613356,0
32,100,0.0,bag,0.5349692657533256,0.13190160903637638,4.132217708878453,1.5909199758026216,1,0.08353527710708737,0.06912526899278087,0
32,100,0.0,mlp,0.6452772308662139,0.17031294791166462,5.345218799505182,2.4583779440458127,1,0.12585877706674103,0.15616914154447073,0
32,100,0.0,svr,0.491991555866728,0.09355449175711777,2.9960858119023617,1.0076296372573033,1,0.11424159154510657,0.10793160356478715,0
32,100,0.0,knn,0.5223921302533918,0.16358014846527086,3.5019472327261716,1.4105287521110785,1,0.12825827910192794,0.23939063677055747,0
32,100,0.0,SuperLearner,0.5374059912671921,0.22838940868733498,4.530058499386219,1.9539766421003226,1,0.08145710342407937,0.2102325623205401,0
32,100,0.0,TabICL,0.6349394405447868,0.11676532883808705,5.232474425135484,1.997502059686226,1,0.0545013331053504,0.10733371048580517,0
32,250,0.0,lr,-0.07532272825315896,0.07460528948331117,-0.04006214846221403,0.12794179760043528,1,-0.014238075298323428,0.017925597275406484,0
32,250,0.0,lasso,-0.039913829160215554,0.03907024532462019,0.0,0.0,1,0.0,0.0,0
32,250,0.0,dt,0.2589375979052025,0.2438267873713904,3.337984099883255,1.4323738425635142,1,0.0676863643273492,0.1120929798435265,0
32,250,0.0,rf,0.5118622890701969,0.12585527393354906,3.134703138044398,1.1610501656572467,1,0.013561080034819947,0.0638479999963795,0
32,250,0.0,et,0.4770143678669525,0.18466468704557404,3.3117750688627625,1.4393015922020393,1,-0.05622436507200903,0.11195155894027276,0
32,250,0.0,gb,0.5221203698672149,0.11489392610065419,3.166747893516006,1.2836808137931397,1,0.028310358731949314,0.0571794350361049,0
32,250,0.0,hgb,0.3912391490800869,0.11828549381478344,2.5837126939983297,0.462575979699045,1,0.012064091662184213,0.1067538149951155,0
