method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10,imp_V11
Sobol-CPI(1),470675.8284884892,0.8761766842002641,70494.37122934996,-2850.522253340314,-2848.035725101334,1882.422592000803,11930.112726599182,2743.644193517015,101159.15212380767,572742.786798352,44635.15937490403,33949.850846096146,19843.772125014744,5267.594031619985
Sobol-CPI(100),470675.8284884892,0.8761766842002641,133555.21384990896,-2166.8089291632364,-6132.454745729724,1574.1664716745681,19772.77439113673,5549.8299378200345,76511.74879455841,554260.6933388887,41569.1152822843,25620.695131824243,21014.434556317596,3030.608905364568
PFI,470675.8284884892,0.8761766842002641,345344.7268799856,1192350.7184133898,94209.51234578277,707.8785915907938,34823.51457562798,887.1788512371131,319400.74697387364,1497984.9085560285,105966.19766909262,71369.85433185712,337190.99307256244,17999.266329928127
CFI,470675.8284884892,0.8761766842002641,139137.18684144312,1517.2554595129914,-2803.815272468375,1006.7282854683581,20458.100759105,10532.25684410223,185970.3733281106,1190885.8811075753,33549.67536769016,19590.80497554835,32641.377049460076,-1658.2139581106603
cSAGEvf,470675.8284884892,0.8761766842002641,925728.7081407047,1026383.7740729763,664328.3489882438,-102255.34734255681,34941.53421480954,222158.70557569386,388390.4453332913,1417685.9367770702,137590.21783089451,298206.6966314949,1629552.828695709,139647.69159603864
scSAGEj,470675.8284884892,0.8761766842002641,133555.2447013695,-2595.6633611947764,-7142.091086778732,2377.0624677789165,21024.593809787708,6475.873398383672,70564.94613712939,564799.6022480177,36091.03499244165,26088.98982426501,20300.954549415794,3165.310957288544
mSAGEvf,470675.8284884892,0.8761766842002641,733587.147124338,1028705.1994580394,318393.19380971976,108371.00262271473,-8644.110412021168,80516.96188617544,81207.10171007691,1347659.1598825986,219247.72097471124,72680.60372410994,776525.7335051922,-99851.58529901598
cSAGE,470675.8284884892,0.8761766842002641,422169.7471091863,586891.9685038513,264997.07454640005,-10315.760693980974,14642.764620571035,3366.187786932459,232066.56684014894,908533.6333965174,145696.89216721608,56498.91705957548,807720.5505852172,-2024.3762091392034
mSAGE,470675.8284884892,0.8761766842002641,416445.5339996584,831524.6097603735,200424.2995931993,-5482.90747141693,17207.856931833343,9673.003802069565,178282.96318168854,1127830.3892415229,104651.69048011383,47038.17662466527,497266.5953407249,2260.356422922506
LOCO,470675.8284884892,0.8761766842002641,-554.0185221952852,-3332.1846912445617,-21836.094252134673,-10749.212288137525,17159.896208428778,-2308.741376336955,33488.49181250692,161354.0948630261,39756.62046536477,26141.922237368242,8719.360339972016,-17763.54710721504
LOCO-W,470675.8284884892,0.8761766842002641,217545.85388763587,-224440.19067168626,-13836.534498699735,-40958.6027116513,-55352.02490128619,13732.53791221079,-267286.2755991191,-64128.61638483869,-63429.93704040108,-192976.62605331006,-153795.06285162808,-128412.21451157813
LOCI,470675.8284884892,0.8761766842002641,1559569.5017914195,998534.9021322532,1522667.0685018064,-98850.29485550849,-45628.25706816465,-11550.339849066455,342161.3463723897,1977959.10467301,-233339.2850745488,-474812.7828860786,2941120.681064869,-455256.98096749187
