method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10,imp_V11
Sobol-CPI(1),1264317.7237397197,0.6640604955357325,58989.04803698044,675.3023363890825,-4614.312589130015,2959.6823001354933,-8085.632393779,5245.64016306377,30177.466870455188,740535.978945949,204.20445144281257,12410.377863465343,-8496.538205723162,2378.533087926451
Sobol-CPI(100),1264317.7237397197,0.6640604955357325,58981.91317942427,1423.1500778573168,-10986.44116980918,4496.650140679276,-28516.383739960806,1368.1341144715038,12394.017157503082,1044215.7062402947,2669.334235615881,49453.91121849136,-22367.881039901185,-1035.953484832005
PFI,1264317.7237397197,0.6640604955357325,186368.51754686423,-2740.718940735562,359830.325745957,9095.517720740987,39687.69231746788,202373.26681341114,182000.3779159428,2444329.701629984,21699.525536512956,77378.25284618465,2075681.7611643334,-2464.5017469048034
CFI,1264317.7237397197,0.6640604955357325,42285.801769580925,1066.9957747950684,-10413.977767352713,1656.5229259610642,-30364.465316403188,13390.268846455961,89233.0952506985,2021489.3837300157,15064.358761045847,36776.91117013269,-17273.177269765176,399.0642595416866
cSAGEvf,1264317.7237397197,0.6640604955357325,-65527.94468128448,1130463.6866798927,-266711.4145931946,68769.49554227479,-104531.39925717982,-155309.22169930255,245321.12828017725,1562119.1691783397,186781.40083526308,342632.8734393758,1069086.3706555935,-71887.11052030604
scSAGEj,1264317.7237397197,0.6640604955357325,50440.71592475311,1287.9087277192157,-11198.608602302847,4899.0240270013455,-35589.274449182674,-4172.746826170478,31914.094276995398,1073822.316105162,1218.9127807205077,46931.52068920713,-21331.266950520687,-3253.92214626004
mSAGEvf,1264317.7237397197,0.6640604955357325,72680.20498177782,27187.774073532782,-553692.5221015713,-124954.10308685433,15724.785414807498,-110312.3957360792,204046.5005988148,1423431.7944555394,279517.5794016747,80141.57293993142,1053294.5286016162,-69684.19819773315
cSAGE,1264317.7237397197,0.6640604955357325,53728.89724250474,616157.229447714,-103738.94236669721,29498.35492494236,-30640.197699875036,6309.750867017588,122854.34412101879,1291910.785755596,18618.07281629164,134723.85242170695,492872.6553909574,2933.4906140450216
mSAGE,1264317.7237397197,0.6640604955357325,82986.91718269937,60814.88626710511,23575.18418600421,5250.562632692139,-57448.28980502954,51026.83881056136,123779.93052195036,1318120.9156399125,10322.14378952791,58501.77652863599,959793.3776771333,-1081.8419305034993
LOCO,1264317.7237397197,0.6640604955357325,28002.870185110485,-198915.2021811786,-61624.25360449636,-176305.5958654713,-129160.1857973698,-12788.171399691375,-54530.552535751136,686681.008210782,-169427.65865344438,-202375.56645014416,-324104.72623520263,-66144.41571029765
LOCO-W,1264317.7237397197,0.6640604955357325,-187787.3241559645,24042.75129443858,-6637.546416990302,-68196.76254455668,116340.22584353501,19759.399332733752,-718309.496348202,12920.646987634549,40241.43306318783,55000.97924058066,-6514.618654596858,89736.42610641697
LOCI,1264317.7237397197,0.6640604955357325,-8358.090368242469,1111320.5488709607,-88547.58012685273,30337.46302267816,-6982.120513817295,-3515.0971279558726,79805.60114689497,1635618.6243825816,-41513.847504661884,349283.4841171559,1074250.5703720339,23802.811870495323
