method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10,imp_V11
Sobol-CPI(1),443108.1203497333,0.8834290749629301,30036.121585524263,0.0,-928.7612478305819,0.0,36624.1493229451,10367.872195947304,9661.561780463642,645676.9418964735,112648.91117092414,94716.74479909643,56563.33172125765,-6254.062971276435
Sobol-CPI(100),443108.1203497333,0.8834290749629301,53804.414566653715,6.339448218298431e-10,-2568.373520212423,6.339448218298431e-10,45872.730136955375,8521.82896065838,9283.309422884457,583586.0780398212,70526.87862365959,61756.48942246001,38303.58500176808,-5786.894762249938
PFI,443108.1203497333,0.8834290749629301,52368.37660298962,2106.0540894203004,43569.58055103448,0.0,67685.80525100773,21347.142515126558,36625.86143816495,1818740.0629391624,597077.6921721452,232020.83019900008,2229303.895358929,12334.480680869892
CFI,443108.1203497333,0.8834290749629301,87187.55868269654,0.0,-2666.472195477865,0.0,53611.41295012104,7002.707321494527,-2007.4188799320837,1261123.7666020403,140080.6578871071,71609.94282017834,67439.43032790523,13512.444274392386
cSAGEvf,443108.1203497333,0.8834290749629301,913061.1312356046,1270749.0482777455,466977.13919939566,-147095.1446092925,8052.112869782373,14594.794807298575,258490.49335217476,1690729.3020096126,389598.2882291889,-37319.724467494525,2255784.802179772,110571.89339413121
scSAGEj,443108.1203497333,0.8834290749629301,54765.401393695094,0.0,-2876.3953051108983,0.0,44464.312430769205,5686.860852885409,9102.933602688601,603793.5544040223,77995.93686220387,56107.401507389324,33513.20869413699,-4867.911423437006
mSAGEvf,443108.1203497333,0.8834290749629301,175481.84039616026,67034.8337255735,-59668.98870699899,115072.82760667801,220912.26384854084,-140950.60815068334,36395.44284048863,1658083.5061304718,108388.90638933796,204142.58920735586,2356903.2399228923,-145396.6811345513
cSAGE,443108.1203497333,0.8834290749629301,331214.3549658741,593874.7508728878,150602.04889081648,-4787.667460924738,45043.649528589325,10872.909025841444,138859.3749508078,1019071.9674959392,138474.11469164526,80864.72799827083,927378.1985943402,28477.882220787407
mSAGE,443108.1203497333,0.8834290749629301,202430.59524500868,5123.796420632975,-43021.927400193,-217.68181999043298,41887.19836011529,14777.473436563349,45824.47359513609,1230129.5157875125,226325.65039694507,85566.25533285178,1648825.3660881303,1050.9196016161916
LOCO,443108.1203497333,0.8834290749629301,2843.443333043542,-533.5612192433327,-4325.069446126523,0.0,72305.37493901578,-553.7755014500581,-6780.164619190735,163429.53870926856,54025.15001505817,67373.91741868888,2848.6158487488865,-51891.2130556826
LOCO-W,443108.1203497333,0.8834290749629301,-130010.18173877406,-94191.16532569512,-87740.03311903037,-98264.79389890851,-95181.3987238713,20475.165349843042,-87038.38305917881,-99017.44403516724,24109.5273465245,17581.373639411453,-42176.441603200125,-257764.58219707588
LOCI,443108.1203497333,0.8834290749629301,1559569.5005354588,998534.8986662473,1522667.0679017194,0.0,-45628.23559960071,-11550.340844600461,309761.3336292687,1731566.5973654205,-345270.50039879093,-403860.5160955731,2789073.2413215246,-327047.86868771305
