method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10,imp_V11
Sobol-CPI(1),686968.163469498,0.8132672410952566,74610.28069059754,84.22380951576633,-1743.3845771645429,925.2137242208701,2060.226906240103,2209.932876359322,28358.789591421082,268814.0731304685,23314.38526646886,17531.951081890962,-4214.249923767871,-460.4454515874968
Sobol-CPI(100),686968.163469498,0.8132672410952566,91752.96318468022,44.21680904659765,2066.9918936581607,748.798161177979,2152.32467145168,4829.188438722089,41947.008899419045,273083.4983721832,9722.708344362483,-5066.967700724836,-158.92508462783744,-421.9727723456984
PFI,686968.163469498,0.8132672410952566,294724.6563382135,2168.533537373063,283015.43390826846,260.36013812210876,15998.539749719203,22121.315591151593,52688.6240833014,2008322.2956336332,189802.32815642306,99572.47682361898,2405258.499022352,820.9827690490056
CFI,686968.163469498,0.8132672410952566,113228.5119552667,101.36453815945424,-500.6519906579051,1400.0630622383906,-4127.266267114319,-5667.138314932934,41499.88615627517,541322.2604617069,41805.02282087121,106129.83870340069,4007.308399128495,-637.4125164800789
cSAGEvf,686968.163469498,0.8132672410952566,628851.6533655981,1686985.036979286,444255.8847090574,-131134.41642361647,28771.656482922845,-284292.3828773401,348542.02284465125,1317800.6543829292,-4542.992650122382,211445.05671423627,1871676.9024752188,270248.3693203544
scSAGEj,686968.163469498,0.8132672410952566,82856.08326044213,27.371475812396966,921.4701009512646,800.6642377257813,2999.2466620495543,5169.138257327955,44276.944419795764,283608.69857217267,6735.5360920768,-6330.2723483312875,-29.965988529729657,-534.0817925288575
mSAGEvf,686968.163469498,0.8132672410952566,418446.98799465783,100574.3082850459,-556011.1298134555,-130004.7020419552,194245.96755055664,9120.235590852797,202923.65089609055,1358833.9882891811,-116719.44559996482,223304.87199305324,1779199.1477836114,-52181.032741918694
cSAGE,686968.163469498,0.8132672410952566,263284.4934122502,715808.6021230338,104452.32482595589,4919.563443239402,3082.6634205163427,9702.493297613106,196803.67383481344,746072.6731237854,94854.95377221939,43851.08388533012,752950.5473408351,203089.33870663017
mSAGE,686968.163469498,0.8132672410952566,296349.8129851853,17161.658761094983,-199609.43603100028,1306.5509323769704,-2454.293670659847,19105.75300535859,101717.03960078859,1147191.8926308753,75012.97829460532,82195.58806324478,1603654.4749990224,-5181.009446810033
LOCO,686968.163469498,0.8132672410952566,88184.7786416933,326.3978481957456,86536.51654278883,1059.9585008710856,-4940.987851705286,2339.3048467491753,30841.656588717946,339796.6619024974,8742.383092336706,7603.997607632191,294481.6459238584,-1797.5018299627118
LOCO-W,686968.163469498,0.8132672410952566,-21410.432939668928,-104982.32085807365,51986.2420543473,47884.1763503279,115960.00864679863,87434.33175312662,315978.72131854726,-78995.10615670898,61372.76291801934,133247.57264531078,152394.8047911638,-250454.1027050345
LOCI,686968.163469498,0.8132672410952566,593012.3867867407,981905.3391676932,346382.06214423105,30077.432705108076,32986.321480618324,26838.53154864628,308262.9285028917,1245676.4882573062,115836.81754711969,130069.86766205216,1708438.5955090425,205396.73507349193
