method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10,imp_V11
Sobol-CPI(1),444570.78125,0.8830443024635315,16541.00603725118,-237.83415902769775,-817.1950884952676,-5257.330767527485,32478.668575529096,5055.786808596429,38104.31662673611,303583.295285144,71842.94113795756,74261.79712527635,68791.98053699394,-2209.660776990524
Sobol-CPI(100),444570.78125,0.8830443024635315,38132.3212869474,-19.02171769749954,-1429.9061964584128,-10403.673782864571,33097.22265886958,6969.8801557742645,57237.55499884206,298681.42228032346,44629.640075205054,63866.577205264424,57635.82424417779,-252.48095449083254
PFI,444570.78125,0.8830443024635315,43266.875,-654.0,15819.53125,1055.71875,58121.125,11112.90625,76712.28125,1468103.21875,470460.96875,149894.53125,3144074.71875,-3700.25
CFI,444570.78125,0.8830443024635315,49591.40625,315.53125,-1530.03125,-10514.6875,26838.03125,8862.8125,74867.59375,717012.59375,118985.90625,78383.875,114772.21875,11932.5625
cSAGEvf,444570.78125,0.8830443024635315,1007747.0,1231401.5,462987.25,-68711.75,-116251.25,-288751.25,259913.25,1717600.75,30127.5,157696.0,2224803.875,331364.25
scSAGEj,444570.78125,0.8830443024635315,39610.5625,-97.3125,-1609.65625,-10514.6875,24367.0,7453.6875,50056.75,305499.34375,44718.03125,65000.0,51323.625,861.28125
mSAGEvf,444570.78125,0.8830443024635315,262609.75,-258245.25,-182479.25,-107466.5,-111077.5,36644.5,135733.25,1707100.25,277866.25,56440.25,2122780.625,12331.25
cSAGE,444570.78125,0.8830443024635315,299406.78497384174,595726.4852260007,125115.20332775518,-25855.50063396692,30679.57492518048,1180.384396703372,163876.15424101023,866998.4746070547,172297.68794549027,69428.20551522663,921504.0440449945,233787.68511120122
mSAGE,444570.78125,0.8830443024635315,171925.05612177876,-807.0219789477292,-70053.40838606872,-18201.489580953577,41294.97273656676,2966.681021829023,73432.0587261834,1266639.6440718381,203621.25008424337,89534.53911033309,1701183.3523056977,-8043.796740781779
LOCO,444570.78125,0.8830443024635315,8058.53125,-79.40625,3177.53125,12509.5,53423.34375,-3895.40625,-184.34375,113551.15625,49600.75,84935.96875,53800.21875,-7221.5625
LOCO-W,444570.78125,0.8830443024635315,7354.621922450553,122696.92268783222,360443.60357917217,54689.965858126336,224947.86236044488,-95941.52414286812,-112482.19842798488,-3447.4236372666624,-39766.47423314276,-19194.54338947887,-108914.52309851673,-30219.783220500198
LOCI,444570.78125,0.8830443024635315,1559568.9961734693,998534.9961734693,1522666.9961734693,-98850.50382653065,-45627.75382653065,-11550.00382653065,335210.99617346935,1873133.2461734693,-525880.2538265307,-380654.75382653065,2970428.7461734693,104534.74617346935
