method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10,imp_V11
Sobol-CPI(1),465173.5220210048,0.8776242066565121,66677.12620777078,-2614.6884207625117,-2674.266548515472,430.7670143454161,9284.608664300438,3871.1414438165957,109695.04616935394,221259.9671071312,46230.872512777685,28281.662941144867,23176.77796744075,-2215.4819573995483
Sobol-CPI(100),465173.5220210048,0.8776242066565121,135512.08890131905,-2119.391281645005,-6205.903257153545,-1045.7243925055009,16812.473886666674,7436.12349169262,81256.63500437005,258682.60639286024,45835.3743357287,24916.627809798778,23098.93930198551,-1218.4626963112323
PFI,465173.5220210048,0.8776242066565121,353789.0894241247,1582548.8423485425,126730.44694690267,4153.876799594727,25623.42903993075,43340.23201326886,247665.77928028148,1476087.4063846706,120390.037313011,44589.849771856156,235272.31549245722,8482.868230964581
CFI,465173.5220210048,0.8776242066565121,166267.8461780724,-624.8043421023176,19.286925535765477,3244.3557767869206,30719.433766930597,15371.759554104996,183990.82816952723,260440.60697892273,66838.03731517366,35864.87201102788,28793.610757564253,5991.875440955162
cSAGEvf,465173.5220210048,0.8776242066565121,906790.9387607556,993691.5242004948,700590.4129446889,-96813.19237909093,-50397.01231115917,109300.84350041253,428529.2602232257,1609068.1276364904,199116.7417353075,102615.75841741217,1677193.2240938074,353446.61312333914
scSAGEj,465173.5220210048,0.8776242066565121,133609.6902538794,-2532.2329579495126,-6243.860094787611,-270.0932137405034,18980.72744852031,9098.679279836419,96213.86976534629,266593.35929599416,47366.39031556685,26242.428488679638,20506.198975066887,368.0781596931629
mSAGEvf,465173.5220210048,0.8776242066565121,598937.9138590251,864331.2339084824,316979.60675126174,37036.317717890255,176913.46472676238,149079.41799727269,208516.37625099206,1715893.6087595625,103406.55074080965,23096.95308411261,811581.5305878306,-123071.98353107786
cSAGE,465173.5220210048,0.8776242066565121,394605.8972871903,578213.5503696761,236993.3505578553,-12395.889191479915,13696.880727571799,5601.69606791317,237516.07883053162,752859.41742645,195198.0912899367,49783.716415821116,786871.0895891633,194375.80207433127
mSAGE,465173.5220210048,0.8776242066565121,427939.61141703755,835864.3987911064,198511.84074049807,-5858.119439817871,17191.055732138757,14262.834513397122,189366.61241576643,1117344.5571053769,102491.66181377716,44970.82299794082,488951.26276619005,2799.1110912307486
LOCO,465173.5220210048,0.8776242066565121,9884.030125684396,1589.7078578362707,5853.926123232814,-85.23722843348514,15958.168290289526,2164.485994095099,30879.129175371607,144055.60956765106,44812.639815527305,36117.980371054495,5026.816657795513,-12261.240639730648
LOCO-W,465173.5220210048,0.8776242066565121,-142707.7194126185,21063.802767683523,-22819.286716189392,-92583.87687637955,135699.23407737043,-12261.9303308381,173809.8357578114,86329.50196170523,37120.420570677874,-4894.956727380677,134647.9533996747,174086.38041034035
LOCI,465173.5220210048,0.8776242066565121,1559569.5017914195,998534.9021322532,1522667.0685018064,-98850.29485550849,-45628.25706816465,-11550.339849066455,342161.3463723897,1977959.10467301,-233339.2850745488,-474812.7828860786,2941120.681064869,341005.64484823355
