method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10,imp_V11
Sobol-CPI(1),857592.0469849712,0.774388476242393,117481.15190587164,-9846.398137519718,-6979.306801846193,-2111.452339056472,1337.5217252736911,6747.251095699612,35159.55846461095,276950.3757380007,23531.259045106126,43744.246291365474,-6479.766742837732,672.8733101662947
Sobol-CPI(100),857592.0469849712,0.774388476242393,129579.69491652625,-1102.4909068172162,-4078.0554957429667,1077.1635275022911,-1571.437043741479,4817.187797869694,30079.911034476903,277855.1394019752,21880.22123456444,33302.4869529384,-2549.6923407078675,-25.523378929160167
PFI,857592.0469849712,0.774388476242393,517279.7992632539,12760119.286148429,1215630.6677744081,224.35137690242846,13068.226889505633,25262.89996251976,67114.587578382,2000897.8168093853,122672.46293494874,45067.796331550344,6834387.367482197,-9208.547900428879
CFI,857592.0469849712,0.774388476242393,135339.979496622,58516.57478009501,-4187.16997026396,7923.218461991986,-6672.084027905832,864.1640330293449,60246.96747945772,660553.2319378407,44634.330002774834,66317.90609506343,23323.098791317316,-7847.115748942712
cSAGEvf,857592.0469849712,0.774388476242393,679685.9068375514,1021726.6759350024,276933.2847451437,-396244.71123381704,27302.64041005168,57585.57404554449,370859.22384830145,1674392.0459645977,53175.97135684313,-23369.65835624654,1517166.0259195548,563545.755917572
scSAGEj,857592.0469849712,0.774388476242393,139513.90954895003,3928.0979138091207,-3051.4452909663087,767.4030042331433,-3518.707340473309,5004.332711779745,34356.32146743685,309510.0365889693,17647.111332483822,27991.20975155849,-2991.1657673893496,603.0974176517921
mSAGEvf,857592.0469849712,0.774388476242393,626219.5289931507,-1897723.0149963486,341044.255019702,218394.28599830857,-23466.646351854783,149810.4981830786,37917.26354561141,1565630.1285361783,126319.54626865358,9539.30791754555,-7688326.8325969055,37777.813654081896
cSAGE,857592.0469849712,0.774388476242393,316168.43150566233,520236.40514756565,112008.67445705533,-26713.55304491739,-2438.692926052426,2669.781699668775,150937.39295546486,869373.3194813797,143422.31514137617,57733.95570721102,601299.131478024,285068.1283593171
mSAGE,857592.0469849712,0.774388476242393,507253.6001822269,2593573.275932216,573795.0473401854,-16411.72866365921,-6460.513152940719,6762.000522661195,118473.3768606867,1277209.254765472,97278.17937471358,87771.21185429982,-2242134.379929075,28670.014548792926
LOCO,857592.0469849712,0.774388476242393,131829.66196867218,948.0781493004179,-4096.185164357652,1130.2778108291095,-1784.0102774240077,4473.127364875283,29449.039640302188,288438.2424966473,19468.774812098825,37633.29030143644,-2957.023673390271,-447.1155908218352
LOCO-W,857592.0469849712,0.774388476242393,68556.58893683282,137766.04651406076,-90641.48561884402,118415.14359606813,-19072.20460932359,-148342.83034830738,115645.85145354182,43575.241906876916,14125.552309034416,273560.2471325138,46959.6043658098,-24308.5504752705
LOCI,857592.0469849712,0.774388476242393,733514.591631196,998534.9021322555,379206.0921399342,-98850.29485550849,-304.56886279350147,-11550.339849074837,291968.0962059549,1623590.2087945687,83721.86721062008,147080.9410319943,1482890.6261082422,527574.9050987493
