method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10,imp_V11
Sobol-CPI(1),455206.57300941885,0.8666498371056153,4315.758051242214,0.0,-392.53255441543297,-4081.6383252028318,11530.379991863942,2861.2346573373943,48379.31093290853,272145.0852154406,113388.29236921962,58683.881569103076,18355.430816641805,-1421.0674509612145
Sobol-CPI(100),455206.57300941885,0.8666498371056153,12226.014547555656,1.7289404231722992e-10,-358.6952028205932,-8263.010027090499,16277.477798790389,2001.2806164930082,20867.714885229332,239538.59696754935,101135.45825500358,77335.70173834976,39251.823883184625,-3252.6360299565604
PFI,455206.57300941885,0.8666498371056153,4756.308302306163,263.1070481625502,7932.779944516427,-6731.791803442698,41707.20739904174,3540.7059188257554,18075.168504562578,1176327.7727929465,270359.4757596383,160296.59021306277,2786876.631556804,257.69096275267657
CFI,455206.57300941885,0.8666498371056153,19092.19648999942,0.0,-785.0651088308659,-13.107201970997266,31508.72495922342,114.21445022214903,29692.40705116524,527303.5864087464,252983.9846953891,114188.83202868672,37935.60870910011,3095.6846598316333
cSAGEvf,455206.57300941885,0.8666498371056153,604922.9119951497,1230690.8687127647,556586.5381338969,-19355.817527188454,103940.57839887403,197009.85147051653,289465.33956588525,1406924.0884899222,289726.65183176054,202156.50008182554,2159724.123634481,339973.1261928659
scSAGEj,455206.57300941885,0.8666498371056153,13966.00881541078,0.0,-418.1871178272995,-7561.850981478521,20725.773782194883,1567.5845250653801,20366.894648839836,218326.35387288942,107414.76328862691,74756.04210346972,42719.141775676166,-3050.572572345962
mSAGEvf,455206.57300941885,0.8666498371056153,359221.4526458713,-52655.75171073992,57345.39203860238,4334.519334214274,-171567.4330974524,72038.82980439719,272845.5799957281,1242806.7717990815,160849.05798625574,14790.889732853044,2103208.057829953,-215620.54824452335
cSAGE,455206.57300941885,0.8666498371056153,206477.18232099002,603673.883741935,162124.36879599447,-12171.438306665501,17724.94893355651,-474.44878859487164,102519.05111591076,627211.0415272187,208431.30053038266,79830.02078477228,864115.8535191646,168398.69272412235
mSAGE,455206.57300941885,0.8666498371056153,88671.18837837802,-464.9417231704203,-12031.568304183991,-11940.146765034913,18611.780872555795,-1950.3250459178491,68378.35638645629,943979.6263545544,194725.991172808,87368.23652015987,1652760.1265084473,3360.7869034780806
LOCO,455206.57300941885,0.8666498371056153,32654.308649419283,1662.3495679076295,15585.702390853781,12625.510320795467,32389.077790341165,10546.086271680251,-2876.515293534787,112184.65593812108,78046.05325833726,93230.34214832465,21576.206369543623,5067.536823965202
LOCO-W,455206.57300941885,0.8666498371056153,-56582.323205122564,154560.26983759753,-78293.26960842212,-40005.25005616539,41578.996208294935,80095.78330694007,-158440.60806075734,-90477.45924475069,82297.41364271412,-151264.93702732414,-95822.69188312629,190146.01383577223
LOCI,455206.57300941885,0.8666498371056153,1089762.3594756285,1194753.3927509873,998092.2858096529,-78914.74310950842,-69976.35006195772,-28654.192652502563,285789.67352369707,1189660.3927876526,-192723.66155883903,-57307.177930311766,2521740.9491623417,114949.8788369745
