method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10,imp_V11
Sobol-CPI(1),621504.4998378503,0.8343379611111619,23424.050016886787,-31.87469506409252,2492.2324655397097,97.44880958233261,46.09637082723202,433.9687666746322,24024.518577651877,246547.04351557576,-7688.468130442197,65104.52431441797,4052.3936563238385,59.31552702200133
Sobol-CPI(100),621504.4998378503,0.8343379611111619,32273.734375366268,-33.77185430732731,2403.9435942132845,714.5522658185258,-2994.750555839717,-3455.00686694257,15253.211416442657,159645.35419762487,7119.7394283936765,43989.70018370586,4371.095817969619,-47.741162977158325
PFI,621504.4998378503,0.8343379611111619,260497.00054113648,34.04186063725501,363398.3606465267,793.8137305582641,480.52305194723886,-2907.7063672858058,42321.12914855161,2353155.722927808,77697.97120982653,190010.97092013794,2584303.1422083993,-1313.1945199471666
CFI,621504.4998378503,0.8343379611111619,91662.60706399218,-1.748957069357857,3467.638030494796,1042.6387085219612,-8668.688235086505,-6722.318203374278,6984.230750080082,639993.5551305307,31458.954290805497,131483.72047352046,22418.32815727708,-67.35068155510817
cSAGEvf,621504.4998378503,0.8343379611111619,1126350.5122597427,1675946.1032242705,794711.2547365506,-76336.32760624308,-63116.15613432135,-66603.77801040886,-9172.662265663967,1821479.4424093743,-123688.74869199377,404568.8118113838,2057029.3013801128,909795.4115046882
scSAGEj,621504.4998378503,0.8343379611111619,33684.58974414831,-59.071281712152995,2840.0773272567894,649.8946755917277,-4248.223765878356,-5206.577277388773,18859.58756229258,176760.79159133404,13366.8531349377,40208.559531116625,6022.070306467125,-229.3313863199437
mSAGEvf,621504.4998378503,0.8343379611111619,660528.9141905471,38984.48301705299,-920720.285684085,-136006.51062479801,66930.56652492797,-55422.11079415586,-154327.75003247475,1696809.1014681982,-185234.50613151863,125110.57523597684,1882467.1299744889,-266285.40127041796
cSAGE,621504.4998378503,0.8343379611111619,282124.00999089074,646121.3097443174,189491.15550090285,5696.289522755277,-2592.293428445091,2058.440879230271,81071.49143807637,748253.3644846859,19237.42253178893,121432.85238771231,794415.2743411685,351480.7384244057
mSAGE,621504.4998378503,0.8343379611111619,385162.426786475,20648.87209807571,-421202.0566601927,1152.3421144909562,-5545.589764131129,10635.478774704072,34975.65195234252,1361360.5625574419,-83035.78684444378,172658.36939875435,1767529.2354385145,-5881.05387306852
LOCO,621504.4998378503,0.8343379611111619,36963.08956790913,40.51342204713728,38532.74532050395,805.8434280172223,4191.949623411987,3302.912085693446,14006.713189539383,150034.72537439363,-5407.041768578696,51413.887618813314,178517.0836124682,-1065.7012449293397
LOCO-W,621504.4998378503,0.8343379611111619,-69268.6161444036,-55923.28059145621,104463.4596315656,-53111.80687022901,95532.40219150153,174276.24726329694,272010.75675067917,37746.41045217324,73987.47527924429,-472180.6421431716,-135768.1203591062,145708.83230393942
LOCI,621504.4998378503,0.8343379611111619,881598.3938126382,793156.5570779443,681925.1546289651,-6160.791561511345,-23771.701425456908,2766.473268420901,74620.89404388797,1776530.2826798675,-238571.41095436038,326309.01815425744,1941638.0861390617,666479.8383451472
