method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10,imp_V11
Sobol-CPI(1),804573.5567736952,0.7999587541766766,40677.40036422509,374.12236505764304,-2649.474709324655,373.46276626421604,9153.472641557863,-352.2270268573775,16758.629535772372,673960.502634323,-1563.0758150859037,33288.316884444735,-1893.8922681377153,32445.716043103137
Sobol-CPI(100),804573.5567736952,0.7999587541766766,71327.06177641977,265.1223256508589,-1829.1668195036552,-764.0570854896099,14752.60028087587,11541.391674294206,26707.362739745608,373600.01234965824,-3097.119214451217,34027.189089085026,-1177.7949207609906,-17780.254942608193
PFI,804573.5567736952,0.7999587541766766,334242.8619730873,-14922.821917985915,182544.32015986892,2591.725021496881,131401.8513765731,95531.39665836829,131351.76369308156,3441439.773696567,15715.618693451746,110803.06661932229,2536068.1071914793,213081.9616130169
CFI,804573.5567736952,0.7999587541766766,134676.05912560388,-467.0779371074168,-3066.1478967588628,3887.366205172846,33215.577199145686,-12424.020036068629,126197.13140404935,1150219.2886634893,-17644.105340993847,50298.663744584424,-12691.457381768734,43239.6804791122
cSAGEvf,804573.5567736952,0.7999587541766766,1008565.6608735301,1527415.1171535184,610258.2620833958,50668.686000862624,16448.623227683827,49360.445554108825,417682.4199654083,1321207.6603659475,-8557.192013430875,-40101.31570161367,1946881.524661471,305739.0979586961
scSAGEj,804573.5567736952,0.7999587541766766,74125.78806986148,396.7080566098448,-2078.068190937978,-1319.0840047572274,11645.58348678681,13173.453454844304,24709.311635396094,377939.7215104649,-5455.885818667011,37105.89139259502,-1735.5518310351763,-23711.088286759565
mSAGEvf,804573.5567736952,0.7999587541766766,387261.6744212089,192892.92042621318,-713720.7940766602,89612.37650056789,131792.73294111155,155970.6505302568,273032.4330314556,1412223.7873843103,94379.3284128015,183855.68675343832,1828675.4198152013,-308845.993135992
cSAGE,804573.5567736952,0.7999587541766766,263594.56692403805,667253.6512305329,166275.19734129665,16018.920552019528,12378.514711921438,21686.068038485224,127599.12630463594,847328.7959803053,110573.752549388,66965.61542524087,765431.3951451969,223246.84643954798
mSAGE,804573.5567736952,0.7999587541766766,349241.56760943006,72222.3940291955,-333918.0576876069,9104.363208691639,23928.202921923614,44935.21237005278,135284.2342666128,1469325.1773767825,-33576.06326263869,90056.64321084075,1647211.1891629344,-185253.51707589193
LOCO,804573.5567736952,0.7999587541766766,164290.93443641998,35652.9919142148,101714.27696481324,32855.21228148008,125004.31592798093,129610.2834105267,134502.96883846854,494223.84363816236,112041.56140422355,49162.167284729425,44758.78272556432,71968.18254159275
LOCO-W,804573.5567736952,0.7999587541766766,130924.12685258451,141606.64797956077,-97635.36107454407,268526.6046775901,-204381.22015591504,-164088.23226360386,43306.84528977634,17023.988486170536,-31957.0830597758,92003.58262057134,-19322.03531569689,27008.76937021916
LOCI,804573.5567736952,0.7999587541766766,854873.4110954357,1456895.642634241,568611.6959332586,43476.821813288145,-2999.0718917343765,72952.92539284006,203956.89942178503,1531528.0902815852,-86201.95705281617,137018.91461635847,1946012.2260705412,370890.0019949847
