method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10,imp_V11
Sobol-CPI(1),754433.5294638145,0.7908206541942873,63633.95530039491,75.45124458341161,-2641.654137067322,413.3368751211092,2280.927230315865,4776.160942874965,26866.127315984864,236120.84187676624,38636.21376720752,9983.264909469173,-3606.066615309741,3867.2602080488577
Sobol-CPI(100),754433.5294638145,0.7908206541942873,74197.63557778286,175.1485229953939,-7438.297474204728,990.5916526635859,2014.3245682532963,3796.6079246685013,22172.045748446384,227461.14659569305,42657.53508905989,33734.910720189124,-11405.988770093087,3593.8406819705897
PFI,754433.5294638145,0.7908206541942873,206893.44437207293,3423.408077884116,526950.3298976106,1958.9965126921888,397.72159960656427,18078.670059402473,66067.17093747854,2054229.638584802,218019.02074623771,37224.599200998666,2528993.419554414,3589.0900794984773
CFI,754433.5294638145,0.7908206541942873,142145.55620062083,142.84633796918206,-12426.671767222811,2063.4096690653823,3278.4547239239328,351.8109889172483,67042.79541831405,451673.736725622,59778.14278226718,162438.7488715034,-12347.034636246972,2057.4865243562963
cSAGEvf,754433.5294638145,0.7908206541942873,702851.3939458951,1259096.1113725803,178647.28151224088,-69020.55239075003,-5264.526529153809,239297.73556847495,536730.9266900285,1094116.1312572192,84035.38413386932,-44522.04773908993,1333913.8476491217,96173.51939614303
scSAGEj,754433.5294638145,0.7908206541942873,73054.46750852314,180.60660174011718,-8399.604934784002,919.8205905799987,1650.6613517700462,3884.6378612429835,26729.066261083703,260634.04278054123,45321.421325026546,44247.326816387125,-11731.403832856566,2774.3790784168523
mSAGEvf,754433.5294638145,0.7908206541942873,546937.2989931325,7944.760816419963,-396416.35364938714,35511.85044701584,-23048.184586383868,91096.57921154657,89969.53076425288,1135707.6963674882,281309.6612727721,-40560.36006294377,1490131.2305709445,-14326.374417040031
cSAGE,754433.5294638145,0.7908206541942873,227877.90481259767,659891.6509086596,68850.28306722338,8851.37126057868,1749.0847845700018,3996.589374076666,195271.32243457754,728473.9230501311,155350.82024867713,-12454.79852484936,675527.5592392879,201087.41509382552
mSAGE,754433.5294638145,0.7908206541942873,240440.49212636246,14407.284222589671,-128189.0417906381,1559.4711673349912,5410.0195957642645,6372.485897275162,135062.87830210515,1044954.2091357051,185708.86241214568,809.2138865734079,1384652.2330757845,19791.477231945333
LOCO,754433.5294638145,0.7908206541942873,87542.38647063891,286.4834585294593,92310.50802070764,1672.6929421777604,6448.56435908284,16472.017230844125,22474.42417163204,368272.7522524161,56024.363366523176,38523.51656699041,243579.02148543834,2262.254235527478
LOCO-W,754433.5294638145,0.7908206541942873,111191.9232991173,22001.00326205728,-60705.381040567336,47762.31354877087,40696.46428602586,135494.5050526423,104498.83814246814,-21320.623367519474,69735.26823426233,249021.71047944485,19529.985827443874,39726.105791093054
LOCI,754433.5294638145,0.7908206541942873,490015.2283673468,785180.4376190477,215764.39995464962,11319.40136054391,86.52390778530389,6892.613945578225,361035.47716045426,1145113.6469395086,163585.32886618888,-186503.07536584837,1354002.6554052075,155841.5582133443
