method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10,imp_V11
Sobol-CPI(1),778138.0589569161,0.7952908800958913,12574.137566137593,0.0,0.0,0.0,1274.2135298564099,0.0,16635.031746031775,52321.03476946335,173647.6092214664,39459.18027210882,177150.07331821608,-2102.1027966742404
Sobol-CPI(100),778138.0589569161,0.7952908800958913,23702.63953241566,-1.1526269487815328e-10,-1.1526269487815328e-10,-1.1526269487815328e-10,-4294.038540895079,-518.6886913181135,16918.150601618334,20889.882208227693,-33517.151071447166,-23267.077800003455,76727.91044662954,-2066.1448304556393
PFI,778138.0589569161,0.7952908800958913,-4252.44444444438,0.0,-3374.777777777752,0.0,2229.167044595699,0.0,8121.788359788364,83507.4867724867,129085.05064247921,98288.55177626619,6589826.649281935,-665.0990173848113
CFI,778138.0589569161,0.7952908800958913,25148.275132275186,0.0,0.0,0.0,4705.287981859408,0.0,675.207860922208,174346.07029478461,42846.962962963036,88983.7936507935,215424.0498866213,306.0468631896656
cSAGEvf,778138.0589569161,0.7952908800958913,669821.5628940277,856541.4741067262,628398.5228374908,144541.9367782306,-56843.69427664438,89061.8601378682,53869.14432380954,632736.7160610734,143007.48937626602,-4864.871106273495,2880350.954068027,376982.81661194284
scSAGEj,778138.0589569161,0.7952908800958913,24649.211723658256,0.0,0.0,0.0,-3125.7340955404798,-316.29120816325303,15313.620755253125,27430.105024338583,-46706.8584483749,-42939.983549810946,47361.03711534396,-1572.1826793651562
mSAGEvf,778138.0589569161,0.7952908800958913,-72911.00218533585,93656.3998315949,-57954.21973030968,181101.1095507173,-80122.76056266017,36904.6850488279,261773.5729753594,498551.6543634161,163434.9328891919,3890.9370621303096,2899516.9832991697,-58729.3646718068
cSAGE,778138.0589569161,0.7952908800958913,237613.69042114675,691919.8667961867,296338.0565174356,555.4579038201181,-295.58257188978735,1512.9266347674459,80859.87941672814,196988.76983809387,118129.13201321798,16819.362311695488,1456049.2064337374,6769.07450005519
mSAGE,778138.0589569161,0.7952908800958913,4275.778172998484,-456.27476166053697,-708.9366092569821,443.5478099339432,2630.800146090296,701.7269109411125,3604.7878640040117,229417.80205307656,153215.27331164834,22370.39536950575,2682846.728991383,1145.0356130942735
LOCO,778138.0589569161,0.7952908800958913,20895.830687830807,0.0,-4784.0068027210655,0.0,5049.340136054438,0.0,33270.06349206355,102533.34391534387,146036.20559334825,14631.73847316706,1015266.5971277402,-3432.7127739983844
LOCO-W,778138.0589569161,0.7952908800958913,-205108.18289185266,38197.49827998665,-150569.82174491958,-47154.8218601845,26012.54982147524,51715.074155984534,78826.19756074056,18000.623693067413,-24332.54947816609,193564.15945215125,17307.718154593233,185155.62321390325
LOCI,778138.0589569161,0.7952908800958913,149760.37429138366,401193.99107142864,671353.4710411946,-327619.40575396875,-555324.0535241868,-821767.593206727,136766.02281746082,1708610.6494236584,-817317.4919217685,-1240490.8244992448,2834070.230678383,-662527.5251795156
