method,mse,r2,imp_V0,imp_V1,imp_V2,imp_V3,imp_V4,imp_V5,imp_V6,imp_V7,imp_V8,imp_V9,imp_V10,imp_V11
Sobol-CPI(1),526362.3286701853,0.8497910567527613,7533.619754741376,0.0,1414.8468162067584,-511.1420599250705,1170.7920112817665,1748.247332591971,31603.12708761805,191617.56940787693,21136.626882946584,56571.02256942511,115958.38907039171,2267.525540983188
Sobol-CPI(100),526362.3286701853,0.8497910567527613,13653.815688796705,-1.1526269487815328e-10,1374.87893697891,-1082.0582980400707,-6006.19135030181,1194.8989203629674,4071.022572468777,193631.1762457589,35457.43761321917,43266.224266447374,86423.92244577814,-939.4921001503336
PFI,526362.3286701853,0.8497910567527613,19796.09050308168,-119.24197463330347,17609.381612143363,2435.0319085639203,6239.742597566452,14910.084745044005,-6501.765726201469,981669.5561765258,223794.73658887867,61527.21806720784,2917246.195776821,8251.362873448757
CFI,526362.3286701853,0.8497910567527613,17623.111276615527,0.0,637.3256881970447,-1027.8714466688689,-6384.4950678618625,4688.039942085277,50490.85866439936,474845.32495097094,65637.88439852942,99489.262503037,81882.4387620677,2377.286342509091
cSAGEvf,526362.3286701853,0.8497910567527613,395071.25788926566,1227040.0056533706,157910.11734885303,78518.02844054345,41423.37303015031,-96257.48622395704,49436.53323519882,1607158.9390866829,48852.921919503715,272275.2978020767,2126857.6696176594,440545.7300069304
scSAGEj,526362.3286701853,0.8497910567527613,13670.756807460915,0.0,1164.0905609877082,-1333.9539629825158,-7587.31658352277,-129.50876663206145,8286.805877380073,188530.30757205235,37829.5033608455,37332.28390205768,86469.19320259604,-231.02155450126156
mSAGEvf,526362.3286701853,0.8497910567527613,33193.32075884985,-10181.42014564015,-105178.82914906135,104625.82289738115,-1344.1660689413548,-64688.218470806256,54018.42333729379,1342120.3925792566,136423.9170904467,123698.98268104438,2097372.074543515,-87038.17409072258
cSAGE,526362.3286701853,0.8497910567527613,166461.67779153807,610325.9947462109,99206.41454697633,3712.078946208268,-204.26970315362172,3214.4725702579562,104389.52169316448,681870.3146955526,136359.75730648814,66574.79332183543,964566.9583102795,217405.971121294
mSAGE,526362.3286701853,0.8497910567527613,15878.386281106219,2875.9320603068672,13654.296984742277,-394.256385042727,-2685.9734173739707,2732.099320621801,39928.22559609878,981657.9509774878,159896.60302810802,67189.31623707272,1782280.823121889,-6867.736420448393
LOCO,526362.3286701853,0.8497910567527613,7471.8704560984625,2919.6149803003063,14717.59319940384,4160.518577915267,-8346.176545039809,7402.798948094598,-2230.5416126723867,150162.15235891496,40618.251825095154,42774.812754530576,-71630.3563587211,-3747.773190051783
LOCO-W,526362.3286701853,0.8497910567527613,-5161.415710065802,-3511.083498148118,125417.05779451788,6997.617306033177,-48235.1191636057,-6286.262381635264,3485.1809705279097,36859.07655391573,-11470.055707470661,107045.057474036,58117.47207454679,127704.41595505863
LOCI,526362.3286701853,0.8497910567527613,828382.3369043279,1093707.7477368014,1163740.3023217358,7186.538668751717,-72487.42317625508,-11464.112559946254,212419.26884752745,1255697.7343272138,-1050256.967528373,-25106.757417319808,2542995.3442837866,-144671.94339454267
